candidate_id,smiles,provenance,canonical_smiles,contract_valid,rejection_reasons,ad_max_morgan_tanimoto,ad_status
enum-050154,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(C(C)O)c2,deterministic-enumeration,CC(O)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C2CCCC2)c1,true,,0.370968,in_domain
enum-050155,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(C(C)F)c2,deterministic-enumeration,CC(F)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C2CCCC2)c1,true,,0.370968,in_domain
enum-050156,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(C(C)Cl)c2,deterministic-enumeration,CC(Cl)c1cc(CCc2ccc(C(C)Cl)cc2N=[N+]=[N-])cc(C2CCCC2)c1,true,,0.396552,in_domain
enum-050157,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(C(C)Br)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(C)Br)cc(C3CCCC3)c2)c(N=[N+]=[N-])c1,true,,0.370968,in_domain
enum-050158,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(C(C)C#N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(C)C#N)cc(C3CCCC3)c2)c(N=[N+]=[N-])c1,true,,0.353846,in_domain
enum-050159,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(C1CCCC1)cc(C1CCOCC1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C3CCCC3)cc(C3CCOCC3)c2)c(N=[N+]=[N-])c1,true,,0.377049,in_domain
enum-050188,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(c1ccncc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccncc3)cc(-c3ccncc3)c2)c(N=[N+]=[N-])c1,true,,0.418182,in_domain
enum-050189,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(c1ccoc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccncc3)cc(-c3ccoc3)c2)c(N=[N+]=[N-])c1,true,,0.426230,in_domain
enum-050190,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(c1ccsc1)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(-c3ccncc3)cc(-c3ccsc3)c2)c(N=[N+]=[N-])c1,true,,0.409836,in_domain
enum-050191,[N-]=[N+]=Nc1cc(C(C)Cl)ccc1CCc2cc(c1ccncc1)cc(C(=O)N)c2,deterministic-enumeration,CC(Cl)c1ccc(CCc2cc(C(N)=O)cc(-c3ccncc3)c2)c(N=[N+]=[N-])c1,true,,0.353846,in_domain
